packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,rolling_iat_mean,rolling_iat_std,requests_per_second,flow_id,flow_pkt_count,unique_func_codes,round_trip_time
1,1536440070.055515,2018-09-08T16:54:30.055515,STP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,,0.0,,,0,None_None,1,,
2,1536440070.111272,2018-09-08T16:54:30.111272,TCP,172.27.224.70,172.27.224.250,49205.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.05575704574584961,0.05575704574584961,0.05575704574584961,,1,172.27.224.250_172.27.224.70,1,,
3,1536440070.205937,2018-09-08T16:54:30.205937,Modbus/TCP,172.27.224.70,172.27.224.250,49205.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.0946648120880127,0.1504218578338623,0.07521092891693115,0.02751194542136523,2,172.27.224.250_172.27.224.70,2,1.0,0.0031020641326904297
4,1536440070.209039,2018-09-08T16:54:30.209039,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49205.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.0031020641326904297,0.15352392196655273,0.05117464065551758,0.04595305246217485,2,172.27.224.250_172.27.224.70,3,1.0,0.0031020641326904297
5,1536440070.423275,2018-09-08T16:54:30.423275,TCP,172.27.224.70,172.27.224.250,49205.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.21423602104187012,0.36775994300842285,0.09193998575210571,0.08974988652046652,3,172.27.224.250_172.27.224.70,4,1.0,
6,1536440070.517529,2018-09-08T16:54:30.517529,Modbus/TCP,172.27.224.70,172.27.224.250,49205.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.0942540168762207,0.46201395988464355,0.09240279197692872,0.07773257068845812,4,172.27.224.250_172.27.224.70,5,1.0,0.01085805892944336
7,1536440070.528387,2018-09-08T16:54:30.528387,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49205.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.01085805892944336,0.4728720188140869,0.07881200313568115,0.07708527281286086,4,172.27.224.250_172.27.224.70,6,1.0,0.01085805892944336
8,1536440070.735268,2018-09-08T16:54:30.735268,TCP,172.27.224.70,172.27.224.250,49205.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20688104629516602,0.6797530651092529,0.09710758072989327,0.0854100688076949,5,172.27.224.250_172.27.224.70,7,1.0,
9,1536440070.751871,2018-09-08T16:54:30.751871,UDP,172.27.224.70,255.255.255.255,,,,,,,,,,,,,,82,0,0,0,Unknown,0.01660299301147461,0.6963560581207275,0.08704450726509094,0.08404092896207484,5,172.27.224.70_255.255.255.255,1,,
10,1536440070.829737,2018-09-08T16:54:30.829737,Modbus/TCP,172.27.224.70,172.27.224.250,49205.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.0778658390045166,0.7742218971252441,0.08602465523613824,0.0786726058209341,6,172.27.224.250_172.27.224.70,8,1.0,0.009315013885498047
11,1536440070.839052,2018-09-08T16:54:30.839052,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49205.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.009315013885498047,0.7835369110107422,0.07835369110107422,0.07803913791722862,6,172.27.224.250_172.27.224.70,9,1.0,0.009315013885498047
12,1536440070.904573,2018-09-08T16:54:30.904573,ARP,,,,,,,,,,,,,,,,60,0,0,0,Unknown,0.0655210018157959,0.8490579128265381,0.07933008670806885,0.07778567382447403,6,None_None,2,,
13,1536440070.906984,2018-09-08T16:54:30.906984,ARP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.0024111270904541016,0.8514690399169922,0.07010471820831299,0.08116225024094383,6,None_None,3,,
14,1536440070.906994,2018-09-08T16:54:30.906994,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,1.0013580322265625e-05,0.8514790534973145,0.06979551315307617,0.08145124899363501,7,172.27.224.250_172.27.224.251,1,,
15,1536440070.917237,2018-09-08T16:54:30.917237,TCP,172.27.224.250,172.27.224.251,502.0,62266.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.010242938995361328,0.8617219924926758,0.049396204948425296,0.06517573226027049,7,172.27.224.250_172.27.224.251,2,,
16,1536440070.917253,2018-09-08T16:54:30.917253,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,1.5974044799804688e-05,0.8617379665374756,0.0399724006652832,0.06478081653840158,8,172.27.224.250_172.27.224.251,3,,
17,1536440070.918424,2018-09-08T16:54:30.918424,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0011708736419677734,0.8629088401794434,0.03900368213653564,0.06533462343215105,9,172.27.224.250_172.27.224.251,4,,
18,1536440070.918672,2018-09-08T16:54:30.918672,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024819374084472656,0.8631570339202881,0.018340396881103515,0.02880390035250699,10,172.27.224.250_172.27.224.251,5,,
19,1536440070.918922,2018-09-08T16:54:30.918922,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002498626708984375,0.8634068965911865,0.016705083847045898,0.02937211158047939,11,172.27.224.250_172.27.224.251,6,,
20,1536440070.919172,2018-09-08T16:54:30.919172,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00025010108947753906,0.8636569976806641,0.008943510055541993,0.020254482788249265,12,172.27.224.250_172.27.224.251,7,,
21,1536440070.91942,2018-09-08T16:54:30.919420,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.000247955322265625,0.8639049530029297,0.00803680419921875,0.02043811841497319,13,172.27.224.250_172.27.224.251,8,,
22,1536440070.919667,2018-09-08T16:54:30.919667,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024700164794921875,0.8641519546508789,0.001509404182434082,0.0031557477978912847,14,172.27.224.250_172.27.224.251,9,,
23,1536440070.919917,2018-09-08T16:54:30.919917,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00025010108947753906,0.8644020557403564,0.0012933015823364258,0.003161125576866101,15,172.27.224.250_172.27.224.251,10,,
24,1536440070.920169,2018-09-08T16:54:30.920169,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00025200843811035156,0.8646540641784668,0.0013175010681152344,0.0031511204599745596,16,172.27.224.250_172.27.224.251,11,,
25,1536440070.920417,2018-09-08T16:54:30.920417,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.000247955322265625,0.8649020195007324,0.00031800270080566405,0.0003085012923130515,17,172.27.224.250_172.27.224.251,12,,
26,1536440070.920665,2018-09-08T16:54:30.920665,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.000247955322265625,0.865149974822998,0.00034120082855224607,0.00029152114867279764,18,172.27.224.250_172.27.224.251,13,,
27,1536440070.920915,2018-09-08T16:54:30.920915,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002498626708984375,0.8653998374938965,0.0002490997314453125,1.519574183968748e-06,19,172.27.224.250_172.27.224.251,14,,
28,1536440070.921167,2018-09-08T16:54:30.921167,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00025200843811035156,0.8656518459320068,0.000249481201171875,1.7309764513884026e-06,20,172.27.224.250_172.27.224.251,15,,
29,1536440070.928762,2018-09-08T16:54:30.928762,TCP,172.27.224.250,172.27.224.251,502.0,62266.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.007595062255859375,0.8732469081878662,0.0009840011596679687,0.0023228907315787244,20,172.27.224.250_172.27.224.251,16,,
30,1536440070.938418,2018-09-08T16:54:30.938418,TCP,172.27.224.250,172.27.224.251,502.0,62266.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.009655952453613281,0.8829028606414795,0.001924586296081543,0.0035649453494455644,20,172.27.224.250_172.27.224.251,17,,
31,1536440070.939251,2018-09-08T16:54:30.939251,Modbus/TCP,172.27.224.250,172.27.224.251,502.0,62266.0,12.0,1.0,0.0,6.0,1.0,6.0,6.0,,,,,66,0,1,0,Write Single Register,0.0008330345153808594,0.8837358951568604,0.0019830942153930666,0.0035390783514947987,20,172.27.224.250_172.27.224.251,18,1.0,
32,1536440071.047275,2018-09-08T16:54:31.047275,TCP,172.27.224.70,172.27.224.250,49205.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.10802412033081055,0.9917600154876709,0.012760806083679199,0.03365316585941579,21,172.27.224.250_172.27.224.70,10,1.0,
33,1536440071.141439,2018-09-08T16:54:31.141439,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.09416389465332031,1.0859239101409912,0.022152185440063477,0.041873865063653856,21,172.27.224.250_172.27.224.251,19,1.0,
34,1536440071.141525,2018-09-08T16:54:31.141525,Modbus/TCP,172.27.224.70,172.27.224.250,49205.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,8.606910705566406e-05,1.0860099792480469,0.022135591506958006,0.04188353980853818,22,172.27.224.250_172.27.224.70,11,1.0,0.007058858871459961
35,1536440071.148584,2018-09-08T16:54:31.148584,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49205.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.007058858871459961,1.0930688381195068,0.022816681861877443,0.04154205174750817,22,172.27.224.250_172.27.224.70,12,1.0,0.007058858871459961
36,1536440071.359245,2018-09-08T16:54:31.359245,TCP,172.27.224.70,172.27.224.250,49205.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.2106611728668213,1.3037300109863281,0.043858003616333005,0.07139912210950747,22,172.27.224.250_172.27.224.70,13,1.0,
37,1536440071.453619,2018-09-08T16:54:31.453619,Modbus/TCP,172.27.224.70,172.27.224.250,49205.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09437394142150879,1.398103952407837,0.05327041149139404,0.0712154536425515,22,172.27.224.250_172.27.224.70,14,1.0,0.005479097366333008
38,1536440071.459098,2018-09-08T16:54:31.459098,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49205.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.005479097366333008,1.40358304977417,0.05379312038421631,0.07080104670855515,22,172.27.224.250_172.27.224.70,15,1.0,0.005479097366333008
39,1536440071.671257,2018-09-08T16:54:31.671257,TCP,172.27.224.70,172.27.224.250,49205.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.2121589183807373,1.6157419681549072,0.0742495059967041,0.08424562119330921,22,172.27.224.250_172.27.224.70,16,1.0,
40,1536440071.76558,2018-09-08T16:54:31.765580,Modbus/TCP,172.27.224.70,172.27.224.250,49205.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09432291984558105,1.7100648880004883,0.08271620273590088,0.08123333159602504,22,172.27.224.250_172.27.224.70,17,1.0,0.002866983413696289
41,1536440071.768447,2018-09-08T16:54:31.768447,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49205.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.002866983413696289,1.7129318714141846,0.08291959762573242,0.08100776255906406,22,172.27.224.250_172.27.224.70,18,1.0,0.002866983413696289
42,1536440071.983215,2018-09-08T16:54:31.983215,TCP,172.27.224.70,172.27.224.250,49205.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.2147681713104248,1.9277000427246094,0.09359400272369385,0.09108890555319836,8,172.27.224.250_172.27.224.70,19,1.0,
43,1536440072.055352,2018-09-08T16:54:32.055352,STP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.07213687896728516,1.9998369216918945,0.09139130115509034,0.09133957574470146,7,None_None,4,,
44,1536440072.077546,2018-09-08T16:54:32.077546,Modbus/TCP,172.27.224.70,172.27.224.250,49205.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.02219390869140625,2.022030830383301,0.09360208511352539,0.0891247695601306,8,172.27.224.250_172.27.224.70,20,1.0,0.011571168899536133
45,1536440072.089117,2018-09-08T16:54:32.089117,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49205.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.011571168899536133,2.033601999282837,0.09405331611633301,0.08864807201930545,8,172.27.224.250_172.27.224.70,21,1.0,0.011571168899536133
46,1536440072.295227,2018-09-08T16:54:32.295227,TCP,172.27.224.70,172.27.224.250,49205.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20611000061035156,2.2397119998931885,0.09359819889068603,0.08799214802192959,7,172.27.224.250_172.27.224.70,22,1.0,
47,1536440072.35731,2018-09-08T16:54:32.357310,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.06208300590515137,2.30179500579834,0.09036910533905029,0.08855123951852693,8,172.27.224.250_172.27.224.251,20,1.0,
48,1536440072.367154,2018-09-08T16:54:32.367154,TCP,172.27.224.250,172.27.224.251,502.0,62266.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.009843826293945312,2.311638832092285,0.09080557823181153,0.0880959074646809,7,172.27.224.250_172.27.224.251,21,1.0,
49,1536440072.368005,2018-09-08T16:54:32.368005,TCP,172.27.224.250,172.27.224.251,502.0,62266.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.0008511543273925781,2.3124899864196777,0.06967480182647705,0.08079333602056216,7,172.27.224.250_172.27.224.251,22,1.0,
50,1536440072.368024,2018-09-08T16:54:32.368024,TCP,172.27.224.251,172.27.224.250,62266.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,1.9073486328125e-05,2.312509059906006,0.060244417190551756,0.083068337016968,8,172.27.224.250_172.27.224.251,23,1.0,
51,1536440072.368201,2018-09-08T16:54:32.368201,TCP,172.27.224.250,172.27.224.251,502.0,62266.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.00017690658569335938,2.312685966491699,0.059975409507751466,0.08327888208036262,8,172.27.224.250_172.27.224.251,24,1.0,
52,1536440072.37714,2018-09-08T16:54:32.377140,TCP,172.27.224.250,172.27.224.251,502.0,62266.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.008939027786254883,2.321624994277954,0.039392495155334474,0.06396674424637319,8,172.27.224.250_172.27.224.251,25,1.0,
53,1536440072.389632,2018-09-08T16:54:32.389632,Modbus/TCP,172.27.224.70,172.27.224.250,49205.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.012491941452026367,2.3341169357299805,0.033428001403808597,0.06335209598087377,9,172.27.224.250_172.27.224.70,23,1.0,0.009443998336791992
54,1536440072.399076,2018-09-08T16:54:32.399076,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49205.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.009443998336791992,2.3435609340667725,0.03215301036834717,0.06373047773342161,9,172.27.224.250_172.27.224.70,24,1.0,0.009443998336791992
