packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,requests_per_second,flow_id,flow_pkt_count,unique_func_codes,round_trip_time,transaction_id_delta,transaction_id_repeats,func_code_entropy,consecutive_same_func_code,flow_request_count,flow_response_count,response_rate,flow_exception_count,exception_rate
3,1535069782.47984,2018-08-23T20:16:22.479840,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,,0.0,1,172.27.224.250_172.27.224.70,1,1.0,0.011384010314941406,0.0,22993,-0.0,0,11484,11509,1.0021769418321143,0,0.0
4,1535069782.491224,2018-08-23T20:16:22.491224,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.011384010314941406,0.011384010314941406,1,172.27.224.250_172.27.224.70,2,1.0,0.011384010314941406,0.0,22993,-0.0,1,11484,11509,1.0021769418321143,0,0.0
6,1535069782.791817,2018-08-23T20:16:22.791817,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30059289932250977,0.31197690963745117,2,172.27.224.250_172.27.224.70,3,1.0,0.010061025619506836,0.0,22993,-0.0,2,11484,11509,1.0021769418321143,0,0.0
7,1535069782.801878,2018-08-23T20:16:22.801878,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.010061025619506836,0.322037935256958,2,172.27.224.250_172.27.224.70,4,1.0,0.010061025619506836,0.0,22993,-0.0,3,11484,11509,1.0021769418321143,0,0.0
9,1535069783.103806,2018-08-23T20:16:23.103806,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3019280433654785,0.6239659786224365,3,172.27.224.250_172.27.224.70,5,1.0,0.007421016693115234,0.0,22993,-0.0,4,11484,11509,1.0021769418321143,0,0.0
10,1535069783.111227,2018-08-23T20:16:23.111227,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.007421016693115234,0.6313869953155518,3,172.27.224.250_172.27.224.70,6,1.0,0.007421016693115234,0.0,22993,-0.0,5,11484,11509,1.0021769418321143,0,0.0
18,1535069783.416902,2018-08-23T20:16:23.416902,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30567502975463867,0.9370620250701904,4,172.27.224.250_172.27.224.70,7,1.0,0.004302024841308594,0.0,22993,-0.0,6,11484,11509,1.0021769418321143,0,0.0
19,1535069783.421204,2018-08-23T20:16:23.421204,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.004302024841308594,0.941364049911499,4,172.27.224.250_172.27.224.70,8,1.0,0.004302024841308594,0.0,22993,-0.0,7,11484,11509,1.0021769418321143,0,0.0
21,1535069783.727798,2018-08-23T20:16:23.727798,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3065938949584961,1.2479579448699951,4,172.27.224.250_172.27.224.70,9,1.0,0.004077911376953125,0.0,22993,-0.0,8,11484,11509,1.0021769418321143,0,0.0
22,1535069783.731876,2018-08-23T20:16:23.731876,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.004077911376953125,1.2520358562469482,4,172.27.224.250_172.27.224.70,10,1.0,0.004077911376953125,0.0,22993,-0.0,9,11484,11509,1.0021769418321143,0,0.0
