packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,rolling_iat_mean,rolling_iat_std,requests_per_second,flow_id,flow_pkt_count,unique_func_codes,round_trip_time
1,1535062530.313736,2018-08-23T18:15:30.313736,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,,0.0,,,1,172.27.224.250_172.27.224.70,1,1.0,0.004244089126586914
2,1535062530.31798,2018-08-23T18:15:30.317980,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.004244089126586914,0.004244089126586914,0.004244089126586914,,1,172.27.224.250_172.27.224.70,2,1.0,0.004244089126586914
4,1535062530.625748,2018-08-23T18:15:30.625748,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3077678680419922,0.3120119571685791,0.15600597858428955,0.2146237223224495,2,172.27.224.250_172.27.224.70,3,1.0,0.011564970016479492
5,1535062530.637313,2018-08-23T18:15:30.637313,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.011564970016479492,0.3235769271850586,0.10785897572835286,0.17316487156406948,2,172.27.224.250_172.27.224.70,4,1.0,0.011564970016479492
7,1535062530.937709,2018-08-23T18:15:30.937709,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.300396203994751,0.6239731311798096,0.1559932827949524,0.17105075629666347,3,172.27.224.250_172.27.224.70,5,1.0,0.010252952575683594
8,1535062530.947962,2018-08-23T18:15:30.947962,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.010252952575683594,0.6342260837554932,0.12684521675109864,0.1618388695361214,3,172.27.224.250_172.27.224.70,6,1.0,0.010252952575683594
13,1535062531.249693,2018-08-23T18:15:31.249693,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3017308712005615,0.9359569549560547,0.15599282582600912,0.1614030806486871,4,172.27.224.250_172.27.224.70,7,1.0,0.008067131042480469
19,1535062531.25776,2018-08-23T18:15:31.257760,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.008067131042480469,0.9440240859985352,0.13486058371407644,0.15759165681960097,4,172.27.224.250_172.27.224.70,8,1.0,0.008067131042480469
31,1535062531.277842,2018-08-23T18:15:31.277842,Modbus/TCP,172.27.224.250,172.27.224.251,502,49584,12,1,0,6,1,6,6.0,,,,,66,0,1,0,Write Single Register,0.02008199691772461,0.9641060829162598,0.12051326036453247,0.1514398231658267,4,172.27.224.250_172.27.224.251,1,1.0,
34,1535062531.577295,2018-08-23T18:15:31.577295,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.2994530200958252,1.263559103012085,0.14039545589023167,0.15370420562149217,4,172.27.224.250_172.27.224.70,9,1.0,0.010041952133178711
35,1535062531.587337,2018-08-23T18:15:31.587337,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.010041952133178711,1.2736010551452637,0.12736010551452637,0.15066249808150578,4,172.27.224.250_172.27.224.70,10,1.0,0.010041952133178711
37,1535062531.889295,2018-08-23T18:15:31.889295,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3019580841064453,1.575559139251709,0.15713150501251222,0.15302731539387182,4,172.27.224.250_172.27.224.70,11,1.0,0.00872492790222168
38,1535062531.89802,2018-08-23T18:15:31.898020,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.00872492790222168,1.5842840671539307,0.12722721099853515,0.14949796117821926,4,172.27.224.250_172.27.224.70,12,1.0,0.00872492790222168
40,1535062532.201266,2018-08-23T18:15:32.201266,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30324602127075195,1.8875300884246826,0.1563953161239624,0.152841183943252,4,172.27.224.250_172.27.224.70,13,1.0,0.00606989860534668
41,1535062532.207336,2018-08-23T18:15:32.207336,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.00606989860534668,1.8935999870300293,0.12696268558502197,0.1503486783087633,4,172.27.224.250_172.27.224.70,14,1.0,0.00606989860534668
44,1535062532.514097,2018-08-23T18:15:32.514097,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3067610263824463,2.2003610134124756,0.15661349296569824,0.15396864883398392,4,172.27.224.250_172.27.224.70,15,1.0,0.003919124603271484
45,1535062532.518016,2018-08-23T18:15:32.518016,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.003919124603271484,2.204280138015747,0.12683231830596925,0.1515638612879334,4,172.27.224.250_172.27.224.70,16,1.0,0.003919124603271484
53,1535062532.825235,2018-08-23T18:15:32.825235,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3072187900543213,2.5114989280700684,0.15674748420715331,0.15500156788157013,4,172.27.224.250_172.27.224.70,17,1.0,0.0027561187744140625
54,1535062532.827991,2018-08-23T18:15:32.827991,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0027561187744140625,2.5142550468444824,0.15501489639282226,0.15678550139110572,4,172.27.224.250_172.27.224.70,18,1.0,0.0027561187744140625
56,1535062533.137256,2018-08-23T18:15:33.137256,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3092648983001709,2.8235199451446533,0.15599608421325684,0.15781716046401684,4,172.27.224.250_172.27.224.70,19,1.0,0.010104179382324219
57,1535062533.14736,2018-08-23T18:15:33.147360,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.010104179382324219,2.8336241245269775,0.15600230693817138,0.1578107671545094,4,172.27.224.250_172.27.224.70,20,1.0,0.010104179382324219
60,1535062533.449327,2018-08-23T18:15:33.449327,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30196690559387207,3.1355910301208496,0.15600318908691407,0.15781167371029312,4,172.27.224.250_172.27.224.70,21,1.0,0.008655071258544922
61,1535062533.457982,2018-08-23T18:15:33.457982,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.008655071258544922,3.1442461013793945,0.1559962034225464,0.1578189188613814,4,172.27.224.250_172.27.224.70,22,1.0,0.008655071258544922
63,1535062533.761222,2018-08-23T18:15:33.761222,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3032398223876953,3.44748592376709,0.15599558353424073,0.1578182762339011,4,172.27.224.250_172.27.224.70,23,1.0,0.006128072738647461
64,1535062533.76735,2018-08-23T18:15:33.767350,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.006128072738647461,3.4536139965057373,0.1560014009475708,0.15781213665241534,4,172.27.224.250_172.27.224.70,24,1.0,0.006128072738647461
66,1535062534.073392,2018-08-23T18:15:34.073392,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.306041955947876,3.7596559524536133,0.15592949390411376,0.15773595589906012,4,172.27.224.250_172.27.224.70,25,1.0,0.004621982574462891
67,1535062534.078014,2018-08-23T18:15:34.078014,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.004621982574462891,3.764277935028076,0.1559997797012329,0.15766083402156295,4,172.27.224.250_172.27.224.70,26,1.0,0.004621982574462891
