packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,rolling_iat_mean,rolling_iat_std,requests_per_second,flow_id,flow_pkt_count,unique_func_codes,round_trip_time
1,1535073407.549512,2018-08-23T21:16:47.549512,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,,0.0,,,1,172.27.224.250_172.27.224.70,1,,
2,1535073407.643781,2018-08-23T21:16:47.643781,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.0942690372467041,0.0942690372467041,0.0942690372467041,,2,172.27.224.250_172.27.224.70,2,1.0,0.009454011917114258
3,1535073407.653235,2018-08-23T21:16:47.653235,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.009454011917114258,0.10372304916381836,0.05186152458190918,0.05997327955706177,2,172.27.224.250_172.27.224.70,3,1.0,0.009454011917114258
4,1535073407.861504,2018-08-23T21:16:47.861504,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.2082691192626953,0.31199216842651367,0.10399738947550456,0.09976393313730386,3,172.27.224.250_172.27.224.70,4,1.0,
5,1535073407.955769,2018-08-23T21:16:47.955769,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09426498413085938,0.40625715255737305,0.10156428813934326,0.08160213333688694,4,172.27.224.250_172.27.224.70,5,1.0,0.008143901824951172
6,1535073407.963913,2018-08-23T21:16:47.963913,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.008143901824951172,0.4144010543823242,0.08288021087646484,0.08209540084361826,4,172.27.224.250_172.27.224.70,6,1.0,0.008143901824951172
7,1535073408.159898,2018-08-23T21:16:48.159898,STP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.1959850788116455,0.6103861331939697,0.10173102219899495,0.08674008529420099,4,None_None,1,,
8,1535073408.161633,2018-08-23T21:16:48.161633,TCP,172.27.224.251,172.27.224.250,53338.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.0017349720001220703,0.6121211051940918,0.08744587217058454,0.0877401119407599,5,172.27.224.250_172.27.224.251,1,,
9,1535073408.17189,2018-08-23T21:16:48.171890,TCP,172.27.224.250,172.27.224.251,502.0,53338.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.01025700569152832,0.6223781108856201,0.07779726386070251,0.0856932397984177,5,172.27.224.250_172.27.224.251,2,,
10,1535073408.172755,2018-08-23T21:16:48.172755,TCP,172.27.224.250,172.27.224.251,502.0,53338.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.0008649826049804688,0.6232430934906006,0.06924923261006673,0.08416076564000646,5,172.27.224.250_172.27.224.251,3,,
11,1535073408.172758,2018-08-23T21:16:48.172758,TCP,172.27.224.251,172.27.224.250,53338.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,3.0994415283203125e-06,0.6232461929321289,0.06232461929321289,0.08231362790356042,6,172.27.224.250_172.27.224.251,4,,
12,1535073408.172923,2018-08-23T21:16:48.172923,TCP,172.27.224.250,172.27.224.251,502.0,53338.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.00016498565673828125,0.6234111785888672,0.052914214134216306,0.08362456909749864,6,172.27.224.250_172.27.224.251,5,,
13,1535073408.173428,2018-08-23T21:16:48.173428,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.0005049705505371094,0.6239161491394043,0.05201930999755859,0.08418732295225456,7,172.27.224.250_172.27.224.70,7,1.0,
