packet_number,timestamp,datetime,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,rolling_iat_mean,rolling_iat_std,flow_id,flow_pkt_count,unique_func_codes
2,1535066155.134133,2018-08-23T19:15:55.134133,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,,0,,,172.27.224.250_172.27.224.70,1,1
3,1535066155.139886,2018-08-23T19:15:55.139886,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.005752802,0.005752802,0.005752802,,172.27.224.250_172.27.224.70,2,1
5,1535066155.446305,2018-08-23T19:15:55.446305,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.30641913414001465,0.31217193603515625,0.15608596801757812,0.21260320240483724,172.27.224.250_172.27.224.70,3,1
6,1535066155.449236,2018-08-23T19:15:55.449236,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.00293088,0.31510281562805176,0.10503427187601726,0.17441011402205686,172.27.224.250_172.27.224.70,4,1
8,1535066156,2018-08-23T19:15:55.758230,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.3089940547943115,0.6240968704223633,0.15602421760559082,0.1751546654935118,172.27.224.250_172.27.224.70,5,1
9,1535066155.769911,2018-08-23T19:15:55.769911,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.011681079864501953,0.6357779502868652,0.12715559005737304,0.16485252778073076,172.27.224.250_172.27.224.70,6,1
11,1535066156.070166,2018-08-23T19:15:56.070166,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.30025506019592285,0.9360330104827881,0.15600550174713135,0.1635083764202874,172.27.224.250_172.27.224.70,7,1
12,1535066156.079259,2018-08-23T19:15:56.079259,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.009092808,0.9451258182525635,0.13501797403608048,0.15925605755811476,172.27.224.250_172.27.224.70,8,1
15,1535066156.382174,2018-08-23T19:15:56.382174,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.302915096,1.2480409145355225,0.1560051143169403,0.15894325780656832,172.27.224.250_172.27.224.70,9,1
16,1535066156.389943,2018-08-23T19:15:56.389943,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.007768869,1.2558097839355469,0.13953442043728298,0.15667368353935837,172.27.224.250_172.27.224.70,10,1
