packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,rolling_iat_mean,rolling_iat_std,flow_id,flow_pkt_count,unique_func_codes
1,1535066155,2018-08-23T19:15:55.127986,TCP,172.27.224.250,172.27.224.251,502,50834,0,,,,,,,,,,,60,0,1,0,Unknown,,0,,,172.27.224.250_172.27.224.251,1,
2,1535066155,2018-08-23T19:15:55.134133,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.006147146,0.006147146,0.006147146,,172.27.224.250_172.27.224.70,1,1
3,1535066155,2018-08-23T19:15:55.139886,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.005752802,0.011899948,0.005949974,0.000278844,172.27.224.250_172.27.224.70,2,1
4,1535066155,2018-08-23T19:15:55.351995,TCP,172.27.224.70,172.27.224.250,49499,502,0,,,,,,,,,,,60,1,0,0,Unknown,0.212109089,0.224009037,0.074669679,0.119026184,172.27.224.250_172.27.224.70,3,1
5,1535066155,2018-08-23T19:15:55.446305,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.094310045,0.318319082,0.079579771,0.097679361,172.27.224.250_172.27.224.70,4,1
6,1535066155,2018-08-23T19:15:55.449236,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.00293088,0.321249962,0.064249992,0.091274058,172.27.224.250_172.27.224.70,5,1
7,1535066156,2018-08-23T19:15:55.663990,TCP,172.27.224.70,172.27.224.250,49499,502,0,,,,,,,,,,,60,1,0,0,Unknown,0.214754105,0.536004066,0.089334011,0.102176372,172.27.224.250_172.27.224.70,6,1
8,1535066156,2018-08-23T19:15:55.758230,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.09423995,0.630244017,0.09003486,0.093292269,172.27.224.250_172.27.224.70,7,1
9,1535066156,2018-08-23T19:15:55.769911,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.01168108,0.641925097,0.080240637,0.090705635,172.27.224.250_172.27.224.70,8,1
10,1535066156,2018-08-23T19:15:55.975978,TCP,172.27.224.70,172.27.224.250,49499,502,0,,,,,,,,,,,60,1,0,0,Unknown,0.206066847,0.847991943,0.094221327,0.094647823,172.27.224.250_172.27.224.70,9,1
11,1535066156,2018-08-23T19:15:56.070166,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.094188213,0.942180157,0.094218016,0.089234824,172.27.224.250_172.27.224.70,10,1
12,1535066156,2018-08-23T19:15:56.079259,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.009092808,0.951272964,0.094512582,0.08891609,172.27.224.250_172.27.224.70,11,1
13,1535066156,2018-08-23T19:15:56.224725,STP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.145466089,1.096739054,0.108483911,0.084275092,None_None,1,
14,1535066156,2018-08-23T19:15:56.287967,TCP,172.27.224.70,172.27.224.250,49499,502,0,,,,,,,,,,,60,1,0,0,Unknown,0.063241959,1.159981012,0.093597198,0.076748604,172.27.224.250_172.27.224.70,12,1
15,1535066156,2018-08-23T19:15:56.382174,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0,11,,,,66,1,0,0,Read Holding Registers,0.094207048,1.254188061,0.093586898,0.076748505,172.27.224.250_172.27.224.70,13,1
16,1535066156,2018-08-23T19:15:56.389943,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22,,85,0,1,0,Read Holding Registers,0.007768869,1.26195693,0.094070697,0.076126267,172.27.224.250_172.27.224.70,14,1
17,1535066157,2018-08-23T19:15:56.507281,UDP,172.27.224.70,255.255.255.255,,,,,,,,,,,,,,82,0,0,0,Unknown,0.117338181,1.379295111,0.084329104,0.064277853,172.27.224.70_255.255.255.255,1,
18,1535066157,2018-08-23T19:15:56.555456,ARP,,,,,,,,,,,,,,,,60,0,0,0,Unknown,0.048174858,1.427469969,0.079722595,0.065133612,None_None,2,
19,1535066157,2018-08-23T19:15:56.557853,ARP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.00239706,1.429867029,0.078794193,0.06626752,None_None,3,
20,1535066157,2018-08-23T19:15:56.557860,TCP,172.27.224.251,172.27.224.250,50835,502,0,,,,,,,,,,,60,1,0,0,Unknown,6.91E-06,1.429873943,0.0581882,0.053004712,172.27.224.250_172.27.224.251,2,
21,1535066157,2018-08-23T19:15:56.568125,TCP,172.27.224.250,172.27.224.251,502,50835,0,,,,,,,,,,,60,0,1,0,Unknown,0.010265112,1.440139055,0.04979589,0.05331438,172.27.224.250_172.27.224.251,3,
22,1535066157,2018-08-23T19:15:56.568132,TCP,172.27.224.251,172.27.224.250,50835,502,0,,,,,,,,,,,60,1,0,0,Unknown,6.91E-06,1.440145969,0.0488873,0.054155901,172.27.224.250_172.27.224.251,4,
23,1535066157,2018-08-23T19:15:56.569241,TCP,172.27.224.251,172.27.224.250,50835,502,1,,,,,,,,,,,60,1,0,0,Unknown,0.001109123,1.441255093,0.034451604,0.043801513,172.27.224.250_172.27.224.251,5,
24,1535066157,2018-08-23T19:15:56.569463,TCP,172.27.224.251,172.27.224.250,50835,502,1,,,,,,,,,,,60,1,0,0,Unknown,0.000221968,1.44147706,0.028149605,0.0437325,172.27.224.250_172.27.224.251,6,
