packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,rolling_iat_mean,rolling_iat_std,flow_id,flow_pkt_count,unique_func_codes
1,1535066155.127986,2018-08-23T19:15:55.127986,TCP,172.27.224.250,172.27.224.251,502.0,50834.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,,0.0,,,172.27.224.250_172.27.224.251,1,
2,1535066155.134133,2018-08-23T19:15:55.134133,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.006147146224975586,0.006147146224975586,0.006147146224975586,,172.27.224.250_172.27.224.70,1,1.0
3,1535066155.139886,2018-08-23T19:15:55.139886,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.0057528018951416016,0.011899948120117188,0.005949974060058594,0.0002788435497480749,172.27.224.250_172.27.224.70,2,1.0
4,1535066155.351995,2018-08-23T19:15:55.351995,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.21210908889770508,0.22400903701782227,0.07466967900594075,0.11902618375975063,172.27.224.250_172.27.224.70,3,1.0
5,1535066155.446305,2018-08-23T19:15:55.446305,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09431004524230957,0.31831908226013184,0.07957977056503296,0.09767936122887624,172.27.224.250_172.27.224.70,4,1.0
6,1535066155.449236,2018-08-23T19:15:55.449236,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.002930879592895508,0.32124996185302734,0.06424999237060547,0.09127405822583265,172.27.224.250_172.27.224.70,5,1.0
7,1535066155.66399,2018-08-23T19:15:55.663990,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.2147541046142578,0.5360040664672852,0.08933401107788086,0.10217637168666639,172.27.224.250_172.27.224.70,6,1.0
8,1535066155.75823,2018-08-23T19:15:55.758230,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09423995018005371,0.6302440166473389,0.09003485952104841,0.09329226885970705,172.27.224.250_172.27.224.70,7,1.0
9,1535066155.769911,2018-08-23T19:15:55.769911,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.011681079864501953,0.6419250965118408,0.0802406370639801,0.09070563458014652,172.27.224.250_172.27.224.70,8,1.0
10,1535066155.975978,2018-08-23T19:15:55.975978,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20606684684753418,0.847991943359375,0.09422132703993055,0.09464782277657771,172.27.224.250_172.27.224.70,9,1.0
11,1535066156.070166,2018-08-23T19:15:56.070166,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09418821334838867,0.9421801567077637,0.09421801567077637,0.08923482369421369,172.27.224.250_172.27.224.70,10,1.0
12,1535066156.079259,2018-08-23T19:15:56.079259,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.00909280776977539,0.9512729644775391,0.09451258182525635,0.08891608973301883,172.27.224.250_172.27.224.70,11,1.0
