timestamp,length,protocol,src_ip,dst_ip,src_port,dst_port
1535046048.376131,60,TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046048.397071,64,STP,,,,
1535046048.47044,66,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046048.473558,85,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0
1535046048.688103,60,TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046048.782418,66,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046048.794216,85,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0
1535046048.881953,60,TCP,172.27.224.251,172.27.224.250,52515.0,502.0
1535046048.892213,60,TCP,172.27.224.250,172.27.224.251,502.0,52515.0
1535046048.893047,60,TCP,172.27.224.250,172.27.224.251,502.0,52515.0
1535046048.893049,60,TCP,172.27.224.251,172.27.224.250,52515.0,502.0
1535046048.893225,60,TCP,172.27.224.250,172.27.224.251,502.0,52515.0
1535046048.902229,60,TCP,172.27.224.250,172.27.224.251,502.0,52515.0
1535046049.000096,60,TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046049.094421,66,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046049.104185,85,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0
1535046049.312105,60,TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046049.406274,66,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046049.413477,85,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0\ mnkmnjkjjjjjjjjjjjjkkkkkkkk'
1535046049.624094,60,TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046049.718344,66,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046049.724183,85,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0
1535046049.93611,60,TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046050.030327,66,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046050.03349,85,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0
1535046050.248082,60,TCP,172.27.224.70,172.27.224.250,49499.0,502.0
1535046050.329726,60,ARP,,,,
